author,chapter,line,text
Onbekend,Dit es van ghevene.,1,GOd die was voor alle beghen /
Onbekend,Dit es van ghevene.,2,Voor alle beghen stont Hem sijn sen
Onbekend,Dit es van ghevene.,3,Op gheven / ende segghe u wel waer bi.
Onbekend,Dit es van ghevene.,4,Hemel ende eerde maecte Hi /
Onbekend,Dit es van ghevene.,5,Ende daer toe menighe creature /
Onbekend,Dit es van ghevene.,6,Ende daertoe menighe figure.
Onbekend,Dit es van ghevene.,7,Daer nae soe maecte Hi den mensche
Onbekend,Dit es van ghevene.,8,Ende alle dinc na sinen wensche.
Onbekend,Dit es van ghevene.,9,Des sijn wi Hem sculdich te dancken daer af
Onbekend,Dit es van ghevene.,10,Van dat wi hebben; want Hijt ons gaf.
Onbekend,Dit es van ghevene.,11,Noch gheeft ons daghelix emmer voort.
Onbekend,Dit es van ghevene.,12,Een here woende te Rome in die poort
Onbekend,Dit es van ghevene.,13,Die Gods gheven wel verstont /
Onbekend,Dit es van ghevene.,14,Dies gaf hi dor Hem menich pont /
Onbekend,Dit es van ghevene.,15,Datment cume tellen mochte
Onbekend,Dit es van ghevene.,16,Dwonder datti met ghevene wrochte.
Onbekend,Dit es van ghevene.,17,In midden sire salen stont
Onbekend,Dit es van ghevene.,18,Een pileer groot ende ront
Onbekend,Dit es van ghevene.,19,Dien haddi doen maken hol
Onbekend,Dit es van ghevene.,20,Ende haddene gouts doen ghieten vol.
Onbekend,Dit es van ghevene.,21,Dit hadhi heymeliken bedreven /
Onbekend,Dit es van ghevene.,22,Ende buten al omme stoet ghescreven
Onbekend,Dit es van ghevene.,23,Met guldenen letteren dus daer an:
Onbekend,Dit es van ghevene.,24,"""Ghef! God gaf den ghevenden man."""
Onbekend,Dit es van ghevene.,25,Doe woude God sijn gheven lonen
Onbekend,Dit es van ghevene.,26,Ende in sijn hemelrike cronen /
Onbekend,Dit es van ghevene.,27,Ende eweliken daer inne erven.
Onbekend,Dit es van ghevene.,28,Doe bleef hi siec ligghende opt sterven:
Onbekend,Dit es van ghevene.,29,Hi ontboot enen jonghelinc /
Onbekend,Dit es van ghevene.,30,Sinen sone / die voor hem ghinc.
Onbekend,Dit es van ghevene.,31,"""Sone / seiti / hout den zede;"
Onbekend,Dit es van ghevene.,32,Want du saechs dat ict dede /
Onbekend,Dit es van ghevene.,33,Ende lees tghescrefte aen den pilaer:
Onbekend,Dit es van ghevene.,34,"""Ghef! God sal di gheven naer."
Onbekend,Dit es van ghevene.,35,Die goede man sciet van eertrike /
Onbekend,Dit es van ghevene.,36,Ende sijn sone gaf mildelike.
Onbekend,Dit es van ghevene.,37,Soe langhe dedi dit ende bedreef
Onbekend,Dit es van ghevene.,38,Dat hem herde lettel bleef:
Onbekend,Dit es van ghevene.,39,Hi versette lant / huse ende borghe /
Onbekend,Dit es van ghevene.,40,Hem wies ane commer ende sorghe.
Onbekend,Dit es van ghevene.,41,Eens quam hi in huus ghegaen
Onbekend,Dit es van ghevene.,42,Ende sach tghescrefte ghender staen /
Onbekend,Dit es van ghevene.,43,Dat God den ghevenden man gave.
Onbekend,Dit es van ghevene.,44,Doen zwoer hi hi sout doen ave /
