author,chapter,line,text
Jacob van Maerlant?,1.,1,"Alsmen merket alle maniere,"
Jacob van Maerlant?,1.,2,"So bistu, Jhesu goedertiere,"
Jacob van Maerlant?,1.,3,"Paradijs vol weelden al,"
Jacob van Maerlant?,1.,4,Want die vader alretiere
Jacob van Maerlant?,1.,5,"Vrucht, goet, soete ende diere,"
Jacob van Maerlant?,1.,6,In di plante sonder ghetal.
Jacob van Maerlant?,1.,7,"Dijnre passiën vrucht, die goede,"
Jacob van Maerlant?,1.,8,"Ende die vloet van dinen bloede,"
Jacob van Maerlant?,1.,9,"Daer du milde of waers int dal,"
Jacob van Maerlant?,1.,10,"Maecte ende an onse armoede,"
Jacob van Maerlant?,1.,11,Daer noch omme die helsche gloede
Jacob van Maerlant?,1.,12,Weent ende langhe wenen sal.
Jacob van Maerlant?,2.,13,"Seghesalich cruce ons Heren,"
Jacob van Maerlant?,2.,14,Ons die dolen constu leren
Jacob van Maerlant?,2.,15,Den wech daermen altoos in lacht.
Jacob van Maerlant?,2.,16,Den troon ondoetstu ons met eren
Jacob van Maerlant?,2.,17,Ende sluuts die ons willen deren
Jacob van Maerlant?,2.,18,"Die helle, met ons Heren cracht."
Jacob van Maerlant?,2.,19,"Die nighic om den Here mare,"
Jacob van Maerlant?,2.,20,Die bi di die clene scare
Jacob van Maerlant?,2.,21,"In den hemel hevet bracht,"
Jacob van Maerlant?,2.,22,"Ende met di bant den portenare,"
Jacob van Maerlant?,2.,23,"Ende brac die helle, daer si sware"
Jacob van Maerlant?,2.,24,Ghevanghen waren in langher nacht.
Jacob van Maerlant?,3.,25,"Die, hooft ghecroont met doorne,"
Jacob van Maerlant?,3.,26,"Nighic, dattie Joden, te toorne"
Jacob van Maerlant?,3.,27,"Gode, croonden als volc verwoet,"
Jacob van Maerlant?,3.,28,Ghescoort in menighe stat bi hoorne
Jacob van Maerlant?,3.,29,"Ende bebloet in den dorboorne,"
Jacob van Maerlant?,3.,30,Spieghel der groter ootmoet!
Jacob van Maerlant?,3.,31,"Edele crone preciose,"
Jacob van Maerlant?,3.,32,Ghegreint metter reinre rose
Jacob van Maerlant?,3.,33,"Jhesus, diet al wesen doet,"
Jacob van Maerlant?,3.,34,"Verclare onse herte roekelose,"
Jacob van Maerlant?,3.,35,"Van sonden doornich ende bose,"
Jacob van Maerlant?,3.,36,Ende maecse suver ende goet!
Jacob van Maerlant?,4.,37,"Rechterhant, ghenaghelt dure,"
Jacob van Maerlant?,4.,38,"Ute di vloeit die soete gure,"
Jacob van Maerlant?,4.,39,"Als dat water Phison doet,"
Jacob van Maerlant?,4.,40,"Die dorneghelden die sure,"
Jacob van Maerlant?,4.,41,"Die verdoemde creature,"
Jacob van Maerlant?,4.,42,Die ongeloveghe Joden verwoet:
Jacob van Maerlant?,4.,43,"Di eric ende anebede,"
Jacob van Maerlant?,4.,44,"Di biddic ende versoeke mede,"
Jacob van Maerlant?,4.,45,"Als die leghet onder voet,"
Jacob van Maerlant?,4.,46,"Dattu mi brenghes in die stede,"
Jacob van Maerlant?,4.,47,Daer die beclaghen haer dorperhede
Jacob van Maerlant?,4.,48,"In sijn, ende icker in bliven moet."
Jacob van Maerlant?,5.,49,"Luchterhant, di groetic mede,"
