author,chapter,line,text
Hein van Aken,DIT ES VAN SALADIJN.,1,HET doet goet aenden wisen leren /
Hein van Aken,DIT ES VAN SALADIJN.,2,Want mer alle wijsheit ane verstaet.
Hein van Aken,DIT ES VAN SALADIJN.,3,Die hem te haren werken keren /
Hein van Aken,DIT ES VAN SALADIJN.,4,Alle wijsheit hi begaet.
Hein van Aken,DIT ES VAN SALADIJN.,5,Sietmen oec der wiser heren
Hein van Aken,DIT ES VAN SALADIJN.,6,Eneghen doen dat hem mestaet /
Hein van Aken,DIT ES VAN SALADIJN.,7,Dat en es sijn bate noch sijn ere;
Hein van Aken,DIT ES VAN SALADIJN.,8,En es nieman vroet in domme daet.
Hein van Aken,DIT ES VAN SALADIJN.,9,Een coninc / hiet heer Saladijn /
Hein van Aken,DIT ES VAN SALADIJN.,10,In Heydenisse een rijc soudaen /
Hein van Aken,DIT ES VAN SALADIJN.,11,Hi was de vroomste Sarrasijn
Hein van Aken,DIT ES VAN SALADIJN.,12,Daer yc ye af conde verstaen:
Hein van Aken,DIT ES VAN SALADIJN.,13,Wide ende side al tlant was sijn /
Hein van Aken,DIT ES VAN SALADIJN.,14,Dat volc was hem onderdaen;
Hein van Aken,DIT ES VAN SALADIJN.,15,Hi haette dorperlyc venijn /
Hein van Aken,DIT ES VAN SALADIJN.,16,Ende meneghe doecht haddi bevaen.
Hein van Aken,DIT ES VAN SALADIJN.,17,Tenen tiden dat dese coninc
Hein van Aken,DIT ES VAN SALADIJN.,18,Regneerde in sinen jaren /
Hein van Aken,DIT ES VAN SALADIJN.,19,Gheviel dat tfolc voer ende ghinc
Hein van Aken,DIT ES VAN SALADIJN.,20,Over zee met groten scaren.
Hein van Aken,DIT ES VAN SALADIJN.,21,Op enen dach men tstride vinc
Hein van Aken,DIT ES VAN SALADIJN.,22,Der vele vrome riddre waren /
Hein van Aken,DIT ES VAN SALADIJN.,23,Daert den onsen qualiken verghinc /
Hein van Aken,DIT ES VAN SALADIJN.,24,Want God en woudse niet bewaren.
Hein van Aken,DIT ES VAN SALADIJN.,25,Dat was een jammerlike dinc:
Hein van Aken,DIT ES VAN SALADIJN.,26,Si bleven doot met groten scaren.
Hein van Aken,DIT ES VAN SALADIJN.,27,Een heer / hiet Hughe van Taberyen /
Hein van Aken,DIT ES VAN SALADIJN.,28,Wert daer ghevaen inden strijt.
Hein van Aken,DIT ES VAN SALADIJN.,29,Ghevanghen ende doot bleef sine partie /
Hein van Aken,DIT ES VAN SALADIJN.,30,De zeghe en haddene niet ghevrijt.
Hein van Aken,DIT ES VAN SALADIJN.,31,Al Galilee / ende alle die
Hein van Aken,DIT ES VAN SALADIJN.,32,Van daer omtrent was sine tier tijt.
Hein van Aken,DIT ES VAN SALADIJN.,33,Soe seer en scaemden riddre nye /
