author,chapter,line,text
Onbekend,VAN SENTE BRANDANE.,1,"Nu verneemt, hoe over lanc"
Onbekend,VAN SENTE BRANDANE.,2,"Een heere was in Yerlant,"
Onbekend,VAN SENTE BRANDANE.,3,Die sach menich Gods teekijn.
Onbekend,VAN SENTE BRANDANE.,4,"Wildi dies gheloovende zijn,"
Onbekend,VAN SENTE BRANDANE.,5,"So hoort wonder, ghi heeren!"
Onbekend,VAN SENTE BRANDANE.,6,"Die Heleghe Gheest moet mi leeren,"
Onbekend,VAN SENTE BRANDANE.,7,Die welke der ezelinnen
Onbekend,VAN SENTE BRANDANE.,8,"Wijlen dede sprekens beghinnen,"
Onbekend,VAN SENTE BRANDANE.,9,"Daer up dat reet Balaam,"
Onbekend,VAN SENTE BRANDANE.,10,"Dat was een heydin man,"
Onbekend,VAN SENTE BRANDANE.,11,"Dat so meinschelike sprac,"
Onbekend,VAN SENTE BRANDANE.,12,Daer sij den inghel Gods sach
Onbekend,VAN SENTE BRANDANE.,13,Commen in haer ghemoet:
Onbekend,VAN SENTE BRANDANE.,14,Den wech hi haer wederstoet
Onbekend,VAN SENTE BRANDANE.,15,Met eenen zwerde vierijn;
Onbekend,VAN SENTE BRANDANE.,16,Si vloo van den inghel fijn
Onbekend,VAN SENTE BRANDANE.,17,Ende dede haren heere cont.
Onbekend,VAN SENTE BRANDANE.,18,Dese moete ontsluten minen mont:
Onbekend,VAN SENTE BRANDANE.,19,"Die ghene die haer gaf de macht,"
Onbekend,VAN SENTE BRANDANE.,20,Datsi wert redene acht.
Onbekend,VAN SENTE BRANDANE.,21,"Een helich man was sonder waen,"
Onbekend,VAN SENTE BRANDANE.,22,"Gheheeten so was hi Brandaen,"
Onbekend,VAN SENTE BRANDANE.,23,Abdt was hi ende regement
Onbekend,VAN SENTE BRANDANE.,24,"Van IIIm moonken of daer omtrent,"
Onbekend,VAN SENTE BRANDANE.,25,"Gheboren hute Yberne,"
Onbekend,VAN SENTE BRANDANE.,26,Gode diendi wel gherne.
Onbekend,VAN SENTE BRANDANE.,27,"Dese vant, int ondersoucken,"
Onbekend,VAN SENTE BRANDANE.,28,Bescreven in houden boucken
Onbekend,VAN SENTE BRANDANE.,29,Van vele teekenen ons Heeren;
Onbekend,VAN SENTE BRANDANE.,30,Hoort! hier moghedi leeren
Onbekend,VAN SENTE BRANDANE.,31,"Van den goeden Gods wijse,"
Onbekend,VAN SENTE BRANDANE.,32,Hoe dat twee paradijse
Onbekend,VAN SENTE BRANDANE.,33,Boven der eerden waren;
Onbekend,VAN SENTE BRANDANE.,34,Doe las hi voort te waren
Onbekend,VAN SENTE BRANDANE.,35,"Van vele wonders, datmer in vant"
Onbekend,VAN SENTE BRANDANE.,36,Ende menich groot eylant;
Onbekend,VAN SENTE BRANDANE.,37,"Ooc las de wijse heere,"
Onbekend,VAN SENTE BRANDANE.,38,Hoe dat eene weerelt weere
Onbekend,VAN SENTE BRANDANE.,39,Hier onder dese eerde
Onbekend,VAN SENTE BRANDANE.,40,"Ende alst hier dach werde,"
Onbekend,VAN SENTE BRANDANE.,41,Dat daer dan nacht zye.
Onbekend,VAN SENTE BRANDANE.,42,Hi las dat hemele waren drie;
Onbekend,VAN SENTE BRANDANE.,43,"Van visschen hi ghescreven vant,"
Onbekend,VAN SENTE BRANDANE.,44,Hoe dat een wout ende een lant
Onbekend,VAN SENTE BRANDANE.,45,Ghewassen stont up zine zwaerde:
Onbekend,VAN SENTE BRANDANE.,46,"Dat wederseidi aerde,"
Onbekend,VAN SENTE BRANDANE.,47,Om datso onghelovich was.
Onbekend,VAN SENTE BRANDANE.,48,"Ooc las hi, hoe dat Judas"
Onbekend,VAN SENTE BRANDANE.,49,Gheniette Gods ontfaermichede
Onbekend,VAN SENTE BRANDANE.,50,Ende hi ghenade hadde mede
Onbekend,VAN SENTE BRANDANE.,51,Alle sondaghes nachte.
Onbekend,VAN SENTE BRANDANE.,52,Hi en wilde no hi en mochte
Onbekend,VAN SENTE BRANDANE.,53,"Dies emmer niet gheloven,"
Onbekend,VAN SENTE BRANDANE.,54,Hi en saecht met zinen oghen.
Onbekend,VAN SENTE BRANDANE.,55,Van toorne verberrendi den bouc
Onbekend,VAN SENTE BRANDANE.,56,Ende gaf den scrivere eenen vlouc;
Onbekend,VAN SENTE BRANDANE.,57,Dat becochti zint wel diere;
Onbekend,VAN SENTE BRANDANE.,58,"Daer hi stont bi den viere,"
Onbekend,VAN SENTE BRANDANE.,59,"Daer die bouc in bernende lach,"
