author,chapter,line,text
Onbekend,PROLOOG,1,Alle die willen wesen vroet
Onbekend,PROLOOG,2,Hoe elc meinsce leuen moet
Onbekend,PROLOOG,3,"Die ghesont wille bliue,"
Onbekend,PROLOOG,4,"Besie wel wat ic hier scriue,"
Onbekend,PROLOOG,5,Want ic ne doere toe no af
Onbekend,PROLOOG,6,"Anders dant aristotiles gaf,"
Onbekend,PROLOOG,7,Ende zendet met groter eeren
Onbekend,PROLOOG,8,"Alexanders, zinen heere."
Onbekend,PROLOOG,9,"Hier zo muechdi vroetscip leren,"
Onbekend,PROLOOG,10,"Eist dat ghire v toe wilt keren,"
Onbekend,PROLOOG,11,"Ende daer omme doen onderzouc,"
Onbekend,PROLOOG,12,Als ons orcont desen bouc
Onbekend,PROLOOG,13,Daer ic v of doe beghin.
Onbekend,PROLOOG,14,"Nu biddic gode meer no min,"
Onbekend,PROLOOG,15,"Ende zire moeder vut vercoren,"
Onbekend,PROLOOG,16,"Ende alle gods heligen te voren,"
Onbekend,PROLOOG,17,"Datsi mi minen zin verlichten,"
Onbekend,PROLOOG,18,Also dat ic moete gedichten
Onbekend,PROLOOG,19,Dat gods eere moete zijn.
Onbekend,PROLOOG,20,"Eer desen bouc nemet fijn,"
Onbekend,PROLOOG,21,"Suldi uele vroetscap horen,"
Onbekend,PROLOOG,22,"Die aristotiles brinct te uoren,"
Onbekend,PROLOOG,23,"Die de vroetste was, zonder blijf."
Onbekend,PROLOOG,24,Die oit van moeder ontfinc lijf.
Onbekend,PROLOOG,25,Hier willic te deser stede
Onbekend,PROLOOG,26,Beghinnen van smeinscen lede.
Onbekend,[Inleiding],27,"Aristotiles doet uerstaen,"
Onbekend,[Inleiding],28,"Die vroet clerc was zonder waen,"
Onbekend,[Inleiding],29,Dattie meinscelike leden
Onbekend,[Inleiding],30,"Gemaect zijn ende gezet mede,"
Onbekend,[Inleiding],31,Na dordonnancie groot ende clene
Onbekend,[Inleiding],32,Vander werelt al gemene;
Onbekend,[Inleiding],33,Bedi heetmen in griexer tale
Onbekend,[Inleiding],34,Die minder werelt al gemene.
Onbekend,[Inleiding],35,"Dese maecte, nader scrifture,"
Onbekend,[Inleiding],36,God naer alle creature
Onbekend,[Inleiding],37,"Vp den vruidach, uander aerde."
Onbekend,[Inleiding],38,Bedi spreict van groter waerde
Onbekend,[Inleiding],39,"Die wijse aristotiles,"
Onbekend,[Inleiding],40,"Dat als die meinsce geboren es,"
Onbekend,[Inleiding],41,"Gaet hi vp handen ende vp uoete,"
Onbekend,[Inleiding],42,"Dan comt de iuecht met goeder moete,"
Onbekend,[Inleiding],43,Diene up ende neder recht.
Onbekend,[Inleiding],44,"Als het comt ter ouden echt,"
Onbekend,[Inleiding],45,So cromt hi ter aerden waert;
Onbekend,[Inleiding],46,Daer orcont hi ende openbaert
Onbekend,[Inleiding],47,"Datti van aerden es genomen,"
Onbekend,[Inleiding],48,Ende hi weder daer toe moet comen.
Onbekend,I,49,"Dat hooft, spreict aristotiles,"
Onbekend,I,50,"Vanden mensce dat gemaect es,"
Onbekend,I,51,Dat hersenbeckin van harden beene;
Onbekend,I,52,"Daer gaen in uele naden cleene,"
Onbekend,I,53,Ende meest int hooft vanden man.
Onbekend,I,54,"Maer vanden wiue, merct hier an,"
Onbekend,I,55,"Gaet waer I naet, na zijn orconden,"
Onbekend,I,56,Ooc heiftmen somwile vonden
Onbekend,I,57,Hersenbeckin sonder naet;
Onbekend,I,58,"Dat betekende, nu uerstaet,"
Onbekend,I,59,Die maniere van langen liue.
Onbekend,I,60,"Na doude van manne ende van wiue,"
Onbekend,I,61,"Dicke ende hart des, gelooft,"
Onbekend,I,62,Dat hersenbeckin vp thooft.
Onbekend,I,63,Die kinderen van cleenre oude
Onbekend,I,64,Hebbe bouen open de moude
Onbekend,I,65,Eer si rechte spreken beghinnen.
Onbekend,I,66,Thersenbeckin heuet binnen
Onbekend,I,67,"Drie camerkine, als wijt horen:"
Onbekend,I,68,"Ene bachten ende ene voren,"
Onbekend,I,69,Ende inde middenwaerden ene.
Onbekend,I,70,Die voorste heift de macht allene
Onbekend,I,71,Die zoe mach int gepeins uisieren
Onbekend,I,72,Saken van vele manieren;
Onbekend,I,73,"Die middelste heift de cracht,"
Onbekend,I,74,Datsoe de verstannesse wacht;
Onbekend,I,75,"Die derde die bachten staet,"
Onbekend,I,76,Es die gedinkenesse ontfaet.
Onbekend,I,77,"Dus eist dattie vorste ontfaet,"
Onbekend,I,78,"Die middelste besteet den raet,"
Onbekend,I,79,Dachterste onthoudet al.
Onbekend,I,80,"Als een heift zulc ongeual,"
Onbekend,I,81,"Datti int vorhooft wert dorwont,"
Onbekend,I,82,Hi verlieset in corter stont
Onbekend,I,83,Van gepeinse dat uisieren;
Onbekend,I,84,Wart hi in eniger manieren
Onbekend,I,85,"Dur slegen bachten, hi verliest dan"
Onbekend,I,86,Datti onthouden niene can.
Onbekend,I,87,Die hooft zwere machmen dus genesen;
Onbekend,I,88,"Eist vander zonnen, houti an desen:"
Onbekend,I,89,Met rosen watre zoutstuut dwaen
Onbekend,I,90,"Ende saluent met polioene zaen,"
Onbekend,I,91,Ende ganc inde scade zitten
Onbekend,I,92,"Daert een deel wait, buuter hitten,"
Onbekend,I,93,Ende coele dijn hooft met stale;
Onbekend,I,94,"Sweert van coude, merct wale,"
Onbekend,I,95,"Dwaet met warmen watre lange,"
Onbekend,I,96,"Ende salvent met galange,"
Onbekend,I,97,"Ende met dielte ende met galigaen,"
