author,chapter,line,text
Onbekend,VAN[D]EN LEUENE ONS HEREN,1,[D]icke ghesciet [da]t [een groet scat]
Onbekend,VAN[D]EN LEUENE ONS HEREN,2,Besloten leit in een cleyn [vat]
Onbekend,VAN[D]EN LEUENE ONS HEREN,3,Dese [boe]c dat es een cleyn v[at]
Onbekend,VAN[D]EN LEUENE ONS HEREN,4,Die vroetheit binnen dats .j. groet scat
Onbekend,VAN[D]EN LEUENE ONS HEREN,5,Meneghe rime soe es ghemae[c]t
Onbekend,VAN[D]EN LEUENE ONS HEREN,6,Die ter zielen luttel smaect
Onbekend,VAN[D]EN LEUENE ONS HEREN,7,Van battalien ende van minnen
Onbekend,VAN[D]EN LEUENE ONS HEREN,8,Van meneghen die wi niet kinnen
Onbekend,VAN[D]EN LEUENE ONS HEREN,9,Van roelande ende van oliuiere
Onbekend,VAN[D]EN LEUENE ONS HEREN,10,Van alexandre ende van ogiere
Onbekend,VAN[D]EN LEUENE ONS HEREN,11,Van walewaine ende van sire macht
Onbekend,VAN[D]EN LEUENE ONS HEREN,12,Hoe hi weder ieghen sine viande vacht
Onbekend,VAN[D]EN LEUENE ONS HEREN,13,Van digenen hoe hi siin lijf
Onbekend,VAN[D]EN LEUENE ONS HEREN,14,Tormente omme een scone wijf
Onbekend,VAN[D]EN LEUENE ONS HEREN,15,Van pyramuse hoe hi siin leuen
Onbekend,VAN[D]EN LEUENE ONS HEREN,16,Omme minne verloes dats al gescreuen
Onbekend,VAN[D]EN LEUENE ONS HEREN,17,Kinder dus varense ende ledichede
Onbekend,VAN[D]EN LEUENE ONS HEREN,18,Dijt lesen lachteren hem daer mede
Onbekend,VAN[D]EN LEUENE ONS HEREN,19,Sonden mesprisen ende dorperhede
Onbekend,VAN[D]EN LEUENE ONS HEREN,20,Om horen truffe ende ledichede
Onbekend,VAN[D]EN LEUENE ONS HEREN,21,Dire sen an leyt eest wijf eest man
Onbekend,VAN[D]EN LEUENE ONS HEREN,22,Hi es sot daer es niet vroetheit an
Onbekend,VAN[D]EN LEUENE ONS HEREN,23,Dit bliuet ende dit es al bleuen
Onbekend,VAN[D]EN LEUENE ONS HEREN,24,Dit es boerde al eest gescreuen
Onbekend,VAN[D]EN LEUENE ONS HEREN,25,Dit es meer d[a]n niet dit bliuet al
Onbekend,VAN[D]EN LEUENE ONS HEREN,26,Neemt roeken an dat ic seggen sal
