author,chapter,line,text
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,1,"Daer staet ghescreven: Invenite,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,2,In manus ejus sunt fines omnes terre.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,3,In Gods hande sijn alle inde
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,4,Van ertrike sonder wederwinde;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,5,"Want hi beghin no inde en heeft,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,6,Soe int hi hem daten gheeft.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,7,Wie comen wille in siere hant
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,8,"Daer boven in sijns vaders lant,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,9,Die sal moten ter Gods ghenaden
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,10,Opclemmen met vijf graden;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,11,Want die mensche heeft vive
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,12,"Vingheren, als men 't bescrive."
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,13,Elc vanden vingheren heeft drie grade
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,14,"Met te comen in Gods ghenade,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,15,"Sonder die dume; die heefter twee,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,16,Hem en behoerter oec niet mee.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,17,Een meester sprac tot eenre stonden:
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,18,In den dumen sijn doetsonden.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,19,"Dat comt wel bi redenen an,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,20,Alsoe als men 't merken can.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,21,'t Ghepuls comt uter herten aderen:
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,22,"In den dume es sijn vergaderen,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,23,Des willen meesteren vroet
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,24,Dat voer hem brenct herten bloet.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,25,"Den dume heeft wederstaet,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,26,Want doch vorder nie en gaet.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,27,Ghelijc dat ghepuls meer noch min
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,28,"Ruert, soe ruert des menschen sin,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,29,"Consciencie, ende doet orconde"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,30,Des minschen sine hoetsonde.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,31,Als men die sonden wederstaet
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,32,Soe es die dume die ierste graet;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,33,Want hi heit Contricio;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,34,In dietschen heet men Berouwen alsoe.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,35,"Als men betughen sijn twee graden,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,36,Wanneer die mensche werdt beladen
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,37,"Met rouwe, dat comt uut .II. siden."
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,38,"Als wi aensien verloren tiden,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,39,"Ende niement sekerlike ende heeft,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,40,Want niemant sekeren tijt en heeft;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,41,"Soe moghen wi dencken: ""Lieve Here,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,42,"Als ic hier wesen sal nemmermere,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,43,Soudic moeten doen versellen
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,44,Metter wormen uter hellen
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,45,"Om die sonden, daer ic in ga!"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,46,"Soe eest best dat ic 's ave sta."""
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,47,"Want anxt comt, als ic scouwe"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,48,Die alre ierste vouwe.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,49,"Dander brenct hope ende minne,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,50,Als 't een mensche denct met sinne:
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,51,"""O lieve God, o lieve Heere,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,52,Nu hulpe mi met dijnre leere
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,53,"Dat ic ghewinnen der ghenaden,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,54,Die den salighen es beraden
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,55,"Daerboven in den hoghen trone,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,56,"Daer berou es meest van lone."""
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,57,"Als men heeft den graet ontfaen,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,58,"Soe wilmen toten anderen gaen,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,59,Die hiet bi namen Confessio;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,60,Die noemt men ende hiet men also.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,61,Index hiet men oec bi stonden;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,62,Want hi es een wiser vonden
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,63,"Van dinghen, die men niet en wiste;"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,64,Hi wist bi wilen oec bi liste
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,65,"Dien priester, als hi biechte hoort;"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,66,Si mesdoen aen eens anders woort.
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,67,"Dese vingher brenct die grade,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,68,Die ons helpen ter Gods ghenade;
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,69,"Die ierst es Vordachticheit,"
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,70,Want wie sine biechte seit
Onbekend,Dit es en expositie vanden viere vingheren ende vanden dume.,71,"Die moet sijn voirdechtich,"
