author,chapter,line,text
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,1,"Ghi heren, vrouwen, wijf ende man,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,2,"Ic bidde gode diet wel doen can,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,3,Dat hi ons wil sijn gracie gheven
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,4,Ende hier na dat eweghe leven;
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,5,Dies biddic hem doer oetmoet.
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,6,"Nu seldi merken ende werden vroet,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,7,"Heren ende vrouwen in allen siden,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,8,Hoe winter ende somer selen striden
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,9,Ende van elken sijn viertuut.
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,10,"Nu swijcht ende maect gheen gheluut,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,11,"Ende merct ende hoert, hoet beghint."
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,12,"Ic bidde u, dat ghijt wel versint,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,13,"Want hets proper ende noyael,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,14,Ane die woorde ende wedertael
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,15,Van somer ende van winter beide.
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,16,"Die somer hi es int ghereide,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,17,"Ende weet, dat hi comen sal."
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,18,"Nu swijcht ende maect gheen ghescal,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,19,Dies biddic u vriendelike alle gader.
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,20,Ic bevele u gode den hemelschen vader.
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,21,Ic ben die somer ende doe singhen
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,22,"Die voghelkine inden locht, die bloemen springen"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,23,"Ende die loveren in den woude,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,24,Ende beneme des winters coude.
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,25,Ic bringhe ons den soeten tijt
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,26,Ende doe den menegen met jolijt
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,27,"Met sinen liefken spelen gaen,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,28,"Als men die bloemken scone siet staen,"
Onbekend,EEN ABEL SPEL VANDEN WINTER ENDE VANDEN SOMER. ENDE ENE SOTTERNIE NA VOLGHENDE.,29,Die te winter sijn verborghen.
