author,chapter,line,text
Augustijnken,Vander rijcheit ende vander doot.,1,"God heeft ghemaect .III. poente fijn,"
Augustijnken,Vander rijcheit ende vander doot.,2,Die der zielen baten:
Augustijnken,Vander rijcheit ende vander doot.,3,"Dat 's hope ende trouwe, daer si sijn"
Augustijnken,Vander rijcheit ende vander doot.,4,Gheminct met karitaten;
Augustijnken,Vander rijcheit ende vander doot.,5,Maer ghierecheit ende valsch venijn
Augustijnken,Vander rijcheit ende vander doot.,6,Doen dese vele ommaten;
Augustijnken,Vander rijcheit ende vander doot.,7,"Si doen die doghet, dat 's wel in schijn,"
Augustijnken,Vander rijcheit ende vander doot.,8,Met crachte al achter laten.
Augustijnken,Vander rijcheit ende vander doot.,9,"Al benic edele gheboren,"
Augustijnken,Vander rijcheit ende vander doot.,10,"Ende daer toe herde scoene mede,"
Augustijnken,Vander rijcheit ende vander doot.,11,Ende alle doghet mi toehoeren
Augustijnken,Vander rijcheit ende vander doot.,12,"Ende goedertierenhede,"
Augustijnken,Vander rijcheit ende vander doot.,13,"Wilt mi d'armoede becoren,"
Augustijnken,Vander rijcheit ende vander doot.,14,Dit en hulpt noch noit en dede.
Augustijnken,Vander rijcheit ende vander doot.,15,Die rike die es uutvercoren:
Augustijnken,Vander rijcheit ende vander doot.,16,Men tijcht hem doghet ende wetenthede.
Augustijnken,Vander rijcheit ende vander doot.,17,"Als ic mijn dier paerment hebbe aen,"
Augustijnken,Vander rijcheit ende vander doot.,18,"Dat mi mijn rijcheit heeft ghegheven,"
Augustijnken,Vander rijcheit ende vander doot.,19,"Met knape achter mi te gane,"
Augustijnken,Vander rijcheit ende vander doot.,20,"Dan soe leidic een heren leven,"
Augustijnken,Vander rijcheit ende vander doot.,21,"Dan benic constech in verstane,"
Augustijnken,Vander rijcheit ende vander doot.,22,Ende oec sere verheven.
Augustijnken,Vander rijcheit ende vander doot.,23,Vele liede sijn dan die mi bestaen;
Augustijnken,Vander rijcheit ende vander doot.,24,Dan soe sijn wi alle gheneven.
Augustijnken,Vander rijcheit ende vander doot.,25,Maer als mi mijn goet afgaet
Augustijnken,Vander rijcheit ende vander doot.,26,"Dat ic hier vormaels hadde vercreghen,"
Augustijnken,Vander rijcheit ende vander doot.,27,Soe en vindic niement die mi bestaet:
Augustijnken,Vander rijcheit ende vander doot.,28,Die maechscap es al af ghedweghen;
Augustijnken,Vander rijcheit ende vander doot.,29,Mijn wijsheit ende minen vroeden raet
Augustijnken,Vander rijcheit ende vander doot.,30,Mi dan 't ontloopene pleghen.
Augustijnken,Vander rijcheit ende vander doot.,31,Als mi d'armoede slaet
Augustijnken,Vander rijcheit ende vander doot.,32,Mi es dan al die werelt jeghen.
Augustijnken,Vander rijcheit ende vander doot.,33,Mochte den riken lieden 't goet
Augustijnken,Vander rijcheit ende vander doot.,34,Allene .IIII. dinc toedraghen:
Augustijnken,Vander rijcheit ende vander doot.,35,"Joecht gheven in vrouden spoet,"
Augustijnken,Vander rijcheit ende vander doot.,36,Ende die felle doot verjaghen;
