author,chapter,line,text
Hein van Aken(?),I,1,Iacop die van mertene vant
Hein van Aken(?),I,2,Heeft mi gesent enen brant
Hein van Aken(?),I,3,Die mi heeft ontsteken.
Hein van Aken(?),I,4,Nu eest met mi also bewant:
Hein van Aken(?),I,5,Het sal mi costen huus ende lant
Hein van Aken(?),I,6,Of ic saels mi wreken.
Hein van Aken(?),I,7,En es saphier noch dyamant
Hein van Aken(?),I,8,Vindickene in dat sant
Hein van Aken(?),I,9,"Alsic wade ouer die beken,"
Hein van Aken(?),I,10,"In wachte na negenen cant,"
Hein van Aken(?),I,11,In treder op bi sente amant
Hein van Aken(?),I,12,Al soude hi te stucken breken.
Hein van Aken(?),I,13,Die mi dus loepen toter hant
Hein van Aken(?),I,14,Ende toenen mi den fellen tant
Hein van Aken(?),I,15,Op hen willic spreken.
Hein van Aken(?),I,16,Si willen wesen so faeliant
Hein van Aken(?),I,17,"Die dus maken den parant,"
Hein van Aken(?),I,18,Alsic hare scip sie leken
Hein van Aken(?),I,19,Toegict den hoghen deken.
Hein van Aken(?),II,20,Constic fraye rime vinden
Hein van Aken(?),II,21,"Ende op .XIX. doen inden,"
Hein van Aken(?),II,22,So woudic rime maken
Hein van Aken(?),II,23,Ende verdroeuen diet verblinden
Hein van Aken(?),II,24,Ende valsche verraders scinden
Hein van Aken(?),II,25,"- Al in dietscher spraken, -"
Hein van Aken(?),II,26,Die ons die werelt sere binden
Hein van Aken(?),II,27,Al met haren valschen sinden
Hein van Aken(?),II,28,Ende die doecht doen laken.
Hein van Aken(?),II,29,Woude[t] ons god also bewinden
Hein van Aken(?),II,30,Dat si hen seluen weder kinden
Hein van Aken(?),II,31,"Die in de archeit waken,"
Hein van Aken(?),II,32,So woudics mi onderwinden
Hein van Aken(?),II,33,Ende hen hoge mere sinden
Hein van Aken(?),II,34,Die edelheiden smaken.
Hein van Aken(?),II,35,Mi deert dat si te houe spinden
Hein van Aken(?),II,36,Die trouwe noyt en minden.
