author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,So dat si bleken van verren
Onbekend,Onbekend Hoofdstuk,2,Jegen die sonne alst varen sterren
Onbekend,Onbekend Hoofdstuk,3,Dese cierheit ende menege ene
Onbekend,Onbekend Hoofdstuk,4,Beede van goude ende van steene
Onbekend,Onbekend Hoofdstuk,5,Mochtemen sien an die ghesmiden
Onbekend,Onbekend Hoofdstuk,6,Voren achter ende besiden
Onbekend,Onbekend Hoofdstuk,7,Ende meer dan ic gesegghen can
Onbekend,Onbekend Hoofdstuk,8,Die ionchere dar ic af began
Onbekend,Onbekend Hoofdstuk,9,Entie welghedane beede
Onbekend,Onbekend Hoofdstuk,10,Waren ghecleet van enen cleede
Onbekend,Onbekend Hoofdstuk,11,Dat was van enen samite roet
Onbekend,Onbekend Hoofdstuk,12,Wel ghescepen ende groet
Onbekend,Onbekend Hoofdstuk,13,Al gheuoedert met hermine
Onbekend,Onbekend Hoofdstuk,14,Al omme gespanget met sabeline
Onbekend,Onbekend Hoofdstuk,15,Elc adde vp toeft enen hoet
Onbekend,Onbekend Hoofdstuk,16,Van roden rosen die hem wel stoet
Onbekend,Onbekend Hoofdstuk,17,Mallic adde andren beuaen
Onbekend,Onbekend Hoofdstuk,18,Jn sinen armen sonder waen
Onbekend,Onbekend Hoofdstuk,19,Ende custen mallic anders mont
Onbekend,Onbekend Hoofdstuk,20,Wel .xl. waruen in corter stont
Onbekend,Onbekend Hoofdstuk,21,Ende darna songen si dit liedekijn
Onbekend,Onbekend Hoofdstuk,22,Lief ic bem dijn ende du best mijn
Onbekend,Onbekend Hoofdstuk,23,Nu doe met mi al dijn geuoech
Onbekend,Onbekend Hoofdstuk,24,Alsic dit horde ic verdroech
Onbekend,Onbekend Hoofdstuk,25,Een diep versuchten ic vernam
Onbekend,Onbekend Hoofdstuk,26,Van mire herten dat al vulquam
Onbekend,Onbekend Hoofdstuk,27,Dicke pensdic ende dochte
Onbekend,Onbekend Hoofdstuk,28,God of ic so singhen mochte
Onbekend,Onbekend Hoofdstuk,29,Metter wareit als dese tuee
Onbekend,Onbekend Hoofdstuk,30,Sone wildic droeuen nemmermee
Onbekend,Onbekend Hoofdstuk,31,Mar neenic niet dies ebbic rouwe
Onbekend,Onbekend Hoofdstuk,32,Die jongelinc entie joncfrouwe
Onbekend,Onbekend Hoofdstuk,33,Quamen vort den rechten pat
