author,chapter,line,text
Clays van Haerlem,Onbekend Hoofdstuk,1,"Met sinen knape vor hi sire strate,"
Clays van Haerlem,Onbekend Hoofdstuk,2,"Hi haesten uter maten sere,"
Clays van Haerlem,Onbekend Hoofdstuk,3,Ende soude dien abt sinen here
Clays van Haerlem,Onbekend Hoofdstuk,4,"Gerne die vessce te tide bringen,"
Clays van Haerlem,Onbekend Hoofdstuk,5,Wils hem god gehingen.
Clays van Haerlem,Onbekend Hoofdstuk,6,"Soe lange reet die edele man,"
Clays van Haerlem,Onbekend Hoofdstuk,7,Dat hi int dal ten Sigeren quam.
Clays van Haerlem,Onbekend Hoofdstuk,8,Hi reet onder die gebr[.]chte groet
Clays van Haerlem,Onbekend Hoofdstuk,9,Ende hi en duchte en gene noet;
Clays van Haerlem,Onbekend Hoofdstuk,10,Mar die knape hadde vaer;
Clays van Haerlem,Onbekend Hoofdstuk,11,Dat seggic u over waer;
Clays van Haerlem,Onbekend Hoofdstuk,12,Hi waender wel doet bliuen
Clays van Haerlem,Onbekend Hoofdstuk,13,Ende datmenne soude ontliuen.
Clays van Haerlem,Onbekend Hoofdstuk,14,Doe sprac hi tien edelen man
Clays van Haerlem,Onbekend Hoofdstuk,15,Harde vervarlike an:
Clays van Haerlem,Onbekend Hoofdstuk,16,"""Here, ic en can niet geduren"
Clays van Haerlem,Onbekend Hoofdstuk,17,"Van vare terre uren."""
Clays van Haerlem,Onbekend Hoofdstuk,18,Ten knape sprac hi vriendelike:
Clays van Haerlem,Onbekend Hoofdstuk,19,"""Vrient, ic biddu hertelike,"
Clays van Haerlem,Onbekend Hoofdstuk,20,Dat gi een liedekijn singet
Clays van Haerlem,Onbekend Hoofdstuk,21,Dar gi u seluen mede bringet
Clays van Haerlem,Onbekend Hoofdstuk,22,Uten vare dar gi in sijt
Clays van Haerlem,Onbekend Hoofdstuk,23,"Ende mi dar mede verblijt,"
Clays van Haerlem,Onbekend Hoofdstuk,24,"Ic hope an gode, die ons geboet,"
Clays van Haerlem,Onbekend Hoofdstuk,25,"Wi en selen hebben gene noet."""
Clays van Haerlem,Onbekend Hoofdstuk,26,"Alse dat die knape versiet,"
Clays van Haerlem,Onbekend Hoofdstuk,27,"""Here"", seit hi, ""oft gijt gebiet,"
Clays van Haerlem,Onbekend Hoofdstuk,28,"Oft gi ember wilt, dat si,"
Clays van Haerlem,Onbekend Hoofdstuk,29,"Ic sal singen, grave vri,"
Clays van Haerlem,Onbekend Hoofdstuk,30,"Ine souts u niet werren dorren."""
Clays van Haerlem,Onbekend Hoofdstuk,31,Mettien ginc hi een liedekijn porren
Clays van Haerlem,Onbekend Hoofdstuk,32,"Al soetelike te haluen uut,"
Clays van Haerlem,Onbekend Hoofdstuk,33,Hi en dorste maken geen geluut.
Clays van Haerlem,Onbekend Hoofdstuk,34,Willem horet ende sprac doe
Clays van Haerlem,Onbekend Hoofdstuk,35,Sinen knape vriendelijc toe:
Clays van Haerlem,Onbekend Hoofdstuk,36,"""Vrient [........]"
Clays van Haerlem,Onbekend Hoofdstuk,37,[...............]
Clays van Haerlem,Onbekend Hoofdstuk,38,Die mordenaers waren bine desen
Clays van Haerlem,Onbekend Hoofdstuk,39,Comen ende hadden roof gedaen
Clays van Haerlem,Onbekend Hoofdstuk,40,Ende si hebben den sanc verstaen.
Clays van Haerlem,Onbekend Hoofdstuk,40,"Si quamen van op dien dach,"
Clays van Haerlem,Onbekend Hoofdstuk,42,Dar si waren om hare beiach
Clays van Haerlem,Onbekend Hoofdstuk,43,Ende enen edelen man hadden doet
Clays van Haerlem,Onbekend Hoofdstuk,44,Ende sine maisnide ende syn conroet
Clays van Haerlem,Onbekend Hoofdstuk,45,Ende sine kinder; des gelike
Clays van Haerlem,Onbekend Hoofdstuk,45,Si plagen dagelike.
Clays van Haerlem,Onbekend Hoofdstuk,47,"Si brachten tgoet, dat sine was,"
Clays van Haerlem,Onbekend Hoofdstuk,48,"Nimanne en wondere das,"
Clays van Haerlem,Onbekend Hoofdstuk,49,Mordenaren noch oec dief
Clays van Haerlem,Onbekend Hoofdstuk,50,"En hadden nimanne soe lief,"
Clays van Haerlem,Onbekend Hoofdstuk,50,"Hi en souden om clene dinc doden,"
Clays van Haerlem,Onbekend Hoofdstuk,52,Si en latens hem niet verbloden.
Clays van Haerlem,Onbekend Hoofdstuk,53,Si waren ten tafflen geseten
Clays van Haerlem,Onbekend Hoofdstuk,54,Ende souden hebben geten;
Clays van Haerlem,Onbekend Hoofdstuk,55,"Dar was spise gnoech,"
Clays van Haerlem,Onbekend Hoofdstuk,55,Dar af hadden si har gevoech.
Clays van Haerlem,Onbekend Hoofdstuk,57,"XV. sater tenen ringe,"
Clays van Haerlem,Onbekend Hoofdstuk,58,"Sijn paert hadde elc sonderlinge,"
Clays van Haerlem,Onbekend Hoofdstuk,59,"Oft teneger noet quame,"
