author,chapter,line,text
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",1,Ons seget hier die aventure
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",2,"Vanden castele ter selver ure,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",3,"Diemen heet der joncfrouwen casteel,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",4,"Daer ic hier vore of sprac een deel,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11165,Daer Galaat hadde gelegen
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",6,"Ende som die ridders verslegen,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",7,"Ende die quade costumen brac,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",8,"Daer ic hier vore gnoech of sprac,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",9,Daer hem die .vij. broders ontreden
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11170,"Die wile dattie andere streden,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11,Die Walewein gemoette daer naer
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",12,"Ende twee gesellen met hem daer,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",13,Ende die .vij. daer sloech doet.
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",14,"Doent die joncfrouwe wiste al bloet,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11175,Dat Walewein dit hadde gedaen
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",16,"Ende hare dus was ontgaen,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",17,"Balch si hare sere om dat,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",18,"Want si horde secgen ter stat,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",19,"Dat hi die hoveste riddere was,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11180,"Ende die scoenste, sijt seker das,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",21,Die men in langen hadde gesien;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",22,"Ende si ward heme minnende sere na dien,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",23,Ende dedene soeken harentare.
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",24,Ende haer casteel ward daernare
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11185,Geheten vorward Galastroet:
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",26,Om dattene Galaat wan al bloet
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",27,"Soe was hi geheten na hem om das,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",28,Die te voren geheten was
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",29,"Der joncfrouwen casteel, alsic versta;"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11190,Ende si was oec geheten daerna
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",31,Die joncfrouwe van Galastroet.
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",32,Doe sij vernam dat was doet
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",33,"Galaet ende Perchevale mede,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",34,"Ende tgrael gewonnen was gerede,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11195,Ende Bohord oec comen was
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",36,"Te hove, alsic hier vore las,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",37,"Sinde si daer haestelike mettien,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",38,"Oft men Waleweine iet vonde te dien,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",39,Die daer op dien poent nine es.
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11200,"Verdriet, vernoi ende ongetes"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",41,"Hadde die joncfrouwe omden here,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",42,Ende mindene ilanc soe mere
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",43,"Ende dedere om soeken ende spien,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",44,Om dat sine gerne hadde gesien;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11205,"Mar daventure en wouts niet,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",46,"Wat si soect of wat si spiet,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",47,Dat sine igerent hadde vonden;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",48,"Ende Venus, die minne, scoet haer tien stonden"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",49,"Een strael in haer herte soe wel,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11210,Dat hare nembermer ontvel;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",51,Want die minne ward in hare
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",52,"Soe starc, datmen oppenbare"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",53,An haer gewerke wel bekinde
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",54,Dat sine sere dullike minde;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11215,Want si hier na om dese dinc
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",56,"Gariette sinen broder vinc,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",57,"Alsic u hierna sal doen verstaen,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",58,"Maer ic moet eer, sonder waen,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",59,Die aventuren u laten horen
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11220,Die gesciet sijn daer voren;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",61,Want hierin seldi vinden al
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",62,"Die aventuren groet ende smal,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",63,Also alsi gescieden gereet.
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",64,"Aldus quaemt toe, Godeweet,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11225,"Dat irste begin in enen dele,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",66,"Alsic u secge, vanden castele,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",67,"Dat hi dus geheten was,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",68,Ende die minne oec na das
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",69,"Om die ridders die Walewein scinde,"
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",11230,Dattene daerombe die joncfrouwe minde;
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",71,Dat seldi gewaerlike groet ende smal
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",72,Hierna vinden beschreven al.
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",73,Maer dit latic nu aldus wesen
Onbekend,"XVIII.  Vander joncfrouwen van Galastroet, waer ombe si Waleweine minnende ward.",74,Ende sal u vord van Artur lesen.
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",11235,"Daventure seget hier,"
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",76,Dat Artur die coninc fier
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",77,"Tenen paeschen hof helt,"
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",78,"Dat meeste daermen nie af telt,"
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",79,Ende oec en vintmen in gere stede
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",11240,Lesende noch gescreven mede
Onbekend,"XIX.  Vanden spere dat Walewein utetrac, ende van den vingerlinen, ende van Keyen.",81,Dat nie so menich baroen was
