author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dar so menich coen degen
Onbekend,Onbekend Hoofdstuk,2,So cortelike wart verslegen
Onbekend,Onbekend Hoofdstuk,3,Alse nu hier dat wetic wale
Onbekend,Onbekend Hoofdstuk,4,Her Wallewein was harde fel
Onbekend,Onbekend Hoofdstuk,5,Hi v[u]lder menegen van den orse
Onbekend,Onbekend Hoofdstuk,6,Want hi stont in die meeste porse
Onbekend,Onbekend Hoofdstuk,7,Altoes ende deedese vor hem wiken
Onbekend,Onbekend Hoofdstuk,8,Datmen te rechte mach geliken
Onbekend,Onbekend Hoofdstuk,9,Die lewe die di scape jaget
Onbekend,Onbekend Hoofdstuk,10,Dar wart menich ridder versaget
Onbekend,Onbekend Hoofdstuk,11,Als hi quam in sijn gemoet
Onbekend,Onbekend Hoofdstuk,12,Die nochtan stout ende goet
Onbekend,Onbekend Hoofdstuk,13,Mijn her Wallewein heeft so gevaren
Onbekend,Onbekend Hoofdstuk,14,[........ die] daer waren
Onbekend,Onbekend Hoofdstuk,15,Hine hadde niet van enen cave
Onbekend,Onbekend Hoofdstuk,16,Ontfaen te scaden in den stri[de]
Onbekend,Onbekend Hoofdstuk,17,Hi was in hoghen ende bli[de]
Onbekend,Onbekend Hoofdstuk,18,Ende sat onder sine gesellen
Onbekend,Onbekend Hoofdstuk,19,Die al laggende vertellen
Onbekend,Onbekend Hoofdstuk,20,Wien daer gevalle of ongeval
Onbekend,Onbekend Hoofdstuk,21,Was gesciet. ende wien men sal
Onbekend,Onbekend Hoofdstuk,22,Met rechte loven ende prisen
Onbekend,Onbekend Hoofdstuk,23,Dus saten si in deser wisen
Onbekend,Onbekend Hoofdstuk,24,Met groter joien in die zale
Onbekend,Onbekend Hoofdstuk,25,Nu willic u van hem die tale
Onbekend,Onbekend Hoofdstuk,26,Laten bliven ende seggen vort
Onbekend,Onbekend Hoofdstuk,27,Ene aventure die men hort
Onbekend,Onbekend Hoofdstuk,28,Gerne lesen in walsche tale
Onbekend,Onbekend Hoofdstuk,29,[........ w]ale
Onbekend,Onbekend Hoofdstuk,30,Van den wapenen die hier an droech
Onbekend,Onbekend Hoofdstuk,31,Hi dede haer ovels me dan genoech
Onbekend,Onbekend Hoofdstuk,32,Want hi sl[oec]hse met onwerden
Onbekend,Onbekend Hoofdstuk,33,Over die [hei]de daer jegen werden
Onbekend,Onbekend Hoofdstuk,34,Her Walewein ende sijn broder quamen
Onbekend,Onbekend Hoofdstuk,35,D[oe si] dat sagen ende vernamen
Onbekend,Onbekend Hoofdstuk,36,[Docht] hem utermaten naer
Onbekend,Onbekend Hoofdstuk,37,"Her Walewein sprac ""ay riddere waer"
Onbekend,Onbekend Hoofdstuk,38,Mo[gedij]t vinden in u herte
Onbekend,Onbekend Hoofdstuk,39,Dat gi dus ongevoe[ge] smerte
Onbekend,Onbekend Hoofdstuk,40,Der joffrouwen dogen doet
Onbekend,Onbekend Hoofdstuk,41,Gi sl[aic]se waer di vroet
Onbekend,Onbekend Hoofdstuk,42,"Gine onderwondes niet mee"""
Onbekend,Onbekend Hoofdstuk,43,"""[I]nne laets dor u niet een slee"
Onbekend,Onbekend Hoofdstuk,44,Waer salic [........]
Onbekend,Onbekend Hoofdstuk,45,"""Doe verwarf ic datmen sochte"
Onbekend,Onbekend Hoofdstuk,46,An desen riddre enen vrede
Onbekend,Onbekend Hoofdstuk,47,Te [m]ine behoef hort wat hi dede
Onbekend,Onbekend Hoofdstuk,48,Hi gavene gerne ende blidelike
Onbekend,Onbekend Hoofdstuk,49,Doe waendic [...] behoudelike
Onbekend,Onbekend Hoofdstuk,50,Varen ende [keren] over al
Onbekend,Onbekend Hoofdstuk,51,Nu merct [here] mijn groet ongeval
Onbekend,Onbekend Hoofdstuk,52,Hier na up den derden dach
Onbekend,Onbekend Hoofdstuk,53,Voer ic mi meyen want ic sach
Onbekend,Onbekend Hoofdstuk,54,Dat weder scone ende blide
Onbekend,Onbekend Hoofdstuk,55,Ende dese riddre die van nide
Onbekend,Onbekend Hoofdstuk,56,Vol sijn ende van overdade
Onbekend,Onbekend Hoofdstuk,57,Quamen hier met valschen rade
Onbekend,Onbekend Hoofdstuk,58,Ende slogen [........]
Onbekend,Onbekend Hoofdstuk,59,"""Laet hem hebben sine amie"
Onbekend,Onbekend Hoofdstuk,60,Al doet hi haer nu dorpernie
Onbekend,Onbekend Hoofdstuk,61,Si heves lich wel verdient
Onbekend,Onbekend Hoofdstuk,62,Ende hi sal morgen bat haer vrient
Onbekend,Onbekend Hoofdstuk,63,"Wesen ende versoent al"""
Onbekend,Onbekend Hoofdstuk,64,"""M[i]n her Walewein"" sprac hi ""sal"
Onbekend,Onbekend Hoofdstuk,65,De[s]e joffrouwe staen te staden
Onbekend,Onbekend Hoofdstuk,66,Want sij[s] nu bide dor genade
Onbekend,Onbekend Hoofdstuk,67,Inne quam noit te gere stad
Onbekend,Onbekend Hoofdstuk,68,Dat mi joffrouwe genade bat
Onbekend,Onbekend Hoofdstuk,69,Dat ic hare minen dienst onseide
Onbekend,Onbekend Hoofdstuk,70,"Broder het waer dorperheide"""
Onbekend,Onbekend Hoofdstuk,71,"Mijn her Walewein sprac ""dat [...]"
Onbekend,Onbekend Hoofdstuk,72,DIe twe en consten n[u...]
Onbekend,Onbekend Hoofdstuk,73,So den vrede dese ne [...]
Onbekend,Onbekend Hoofdstuk,74,Ende verwerden vele mee[...]
Onbekend,Onbekend Hoofdstuk,75,Met haren talen dander t[...]
Onbekend,Onbekend Hoofdstuk,76,Want elc die joffrouwe hebben [...]
Onbekend,Onbekend Hoofdstuk,77,Dus sijn si met spere ende [...]
Onbekend,Onbekend Hoofdstuk,78,Elc van andren een deel [...]
Onbekend,Onbekend Hoofdstuk,79,Doe wast hadde narnst [...]
Onbekend,Onbekend Hoofdstuk,80,Te justeerne ridderlike [...]
Onbekend,Onbekend Hoofdstuk,81,Si hilden wel ende getog[...]
Onbekend,Onbekend Hoofdstuk,82,Vor hen die sc[il]de ende dede [...]
Onbekend,Onbekend Hoofdstuk,83,[...] groter cracht onthouden
Onbekend,Onbekend Hoofdstuk,84,[... d]ie orse keren souden
Onbekend,Onbekend Hoofdstuk,85,[...]adren metten sweerde
Onbekend,Onbekend Hoofdstuk,86,[...e]ren ende na overdade
Onbekend,Onbekend Hoofdstuk,87,[...] oetmoedelike genade
Onbekend,Onbekend Hoofdstuk,88,"[...c] ""ay rider edel here"
Onbekend,Onbekend Hoofdstuk,89,[...]c ben gequetst harde sere
Onbekend,Onbekend Hoofdstuk,90,[...] mi heden up desen dach
Onbekend,Onbekend Hoofdstuk,91,[...]t mi here oft wesen mach
Onbekend,Onbekend Hoofdstuk,92,[...]ame in hovescheden
Onbekend,Onbekend Hoofdstuk,93,[...]t gijs mi hebt gebeden
Onbekend,Onbekend Hoofdstuk,94,[...]lic dat u cont si
Onbekend,Onbekend Hoofdstuk,95,"""Of dan neen hoet u van mi"""
Onbekend,Onbekend Hoofdstuk,96,"Die ridder sprac ""ic scelse vri"
Onbekend,Onbekend Hoofdstuk,97,"Neemtse ende voertse dart u voget"""
Onbekend,Onbekend Hoofdstuk,98,"Doe sprac her Walewein ""mi gevoget"
Onbekend,Onbekend Hoofdstuk,99,Uwe name te wetene dien segt mi
Onbekend,Onbekend Hoofdstuk,100,"Eer wi sceden"" ""here dat si"
Onbekend,Onbekend Hoofdstuk,101,Ic hete te berge ende te dale
Onbekend,Onbekend Hoofdstuk,102,"Licoridoen"" met dere tale"
Onbekend,Onbekend Hoofdstuk,103,Sijn si bede dan gesceden
Onbekend,Onbekend Hoofdstuk,104,Ende lieten hebben ende geleden
Onbekend,Onbekend Hoofdstuk,105,Die aer hi wilde die joffrouwe
Onbekend,Onbekend Hoofdstuk,106,Die quijt was van groten rouwe
Onbekend,Onbekend Hoofdstuk,107,Ende [.............] waren
